company,ticker,country,year,revenue,capex,sga,assets,net_income,capex_intensity,sga_intensity,trustpilot_score,trustpilot_reviews,glassdoor_overall,gd_review_count,eu_ecom_share_pct,uk_internet_sales_pct,ecom_share,log_revenue,log_assets,net_margin,ecom2,assets_rank,revenue_rank,capex_intensity_z,glassdoor_overall_z,trustpilot_score_z,sga_intensity_z,net_margin_z,K_x_W_z,K_x_T_z,capex_intensity_z_L1,glassdoor_overall_z_L1,trustpilot_score_L1,K_x_W_z_L1,covid,time_trend,yr_2021,yr_2022,yr_2023,yr_2024,yr_2025,capex_intensity_bar,glassdoor_overall_bar,trustpilot_score_bar,sga_intensity_bar,trustpilot_100
Next,NXT.L,GB,2024,5491000000.0,188200000.0,1451800000.0,4724300000.0,802300000.0,0.0343,0.2644,4.3,279000.0,,,23.0,26.5,26.5,22.426376225243146,22.27598523876895,0.14611181934073939,702.25,0.09090909090909091,0.09090909090909091,-0.012598558392009457,,2.071712024845592,0.5726696232916545,2.191480777187921,,-0.02610058491644534,1.031379280253967,1.7764566381226792,4.3,1.8322005688293508,0,5,0,0,0,1,0,0.041624999999999995,3.5,4.3,0.2486,82.5
Next,NXT.L,GB,2025,6118100000.0,157500000.0,1549400000.0,4872500000.0,736100000.0,0.0257,0.2532,,,,,,,,22.534517427752395,22.30687298934599,0.12031513051437538,,0.09090909090909091,0.09090909090909091,-0.6275444085533377,,,0.4928640268477513,1.631575764210314,,,-0.012598558392009457,,4.3,,0,6,0,0,0,0,1,0.041624999999999995,3.5,4.3,0.2486,
Sainsbury's,SBRY.L,GB,2021,,,,,,,,3.5,35000.0,3.2,2200.0,23.0,26.0,26.0,,,,676.0,,,,-0.11243396443814092,1.3003824881489037,,,,,,,,,1,2,1,0,0,0,0,0.030475000000000002,3.2000000000000006,3.575,0.0444,62.5
Sainsbury's,SBRY.L,GB,2022,29895000000.0,697000000.0,1430000000.0,26912000000.0,677000000.0,0.0233,0.0478,3.6,40000.0,3.2,2400.0,22.0,25.5,25.5,24.12095707927928,24.015838120736948,0.022645927412610803,650.25,0.5555555555555556,0.5555555555555556,-0.7991572039471968,-0.11243396443814092,1.39679868023599,-0.9707136079359675,-0.48828840899000675,0.08985241264908325,-1.1162617277745284,,-0.11243396443814092,3.5,,0,3,0,1,0,0,0,0.030475000000000002,3.2000000000000006,3.575,0.0444,65.0
Sainsbury's,SBRY.L,GB,2023,31491000000.0,754000000.0,1515000000.0,26158000000.0,207000000.0,0.0239,0.0481,3.6,45000.0,3.2,2600.0,22.0,26.0,26.0,24.172967627668182,23.987420908013373,0.006573306659045442,676.0,0.5454545454545454,0.5454545454545454,-0.756254005098732,-0.11243396443814092,1.39679868023599,-0.9685759580312201,-0.8371370923300223,0.08502863591547248,-1.0563345962450905,-0.7991572039471968,-0.11243396443814092,3.6,0.08985241264908325,0,4,0,0,1,0,0,0.030475000000000002,3.2000000000000006,3.575,0.0444,65.0
Sainsbury's,SBRY.L,GB,2024,32238000000.0,1565000000.0,1333000000.0,25061000000.0,137000000.0,0.0485,0.0413,3.6,49000.0,,,23.0,26.5,26.5,24.19641171792115,23.94457868984803,0.00424964327811899,702.25,0.5454545454545454,0.5454545454545454,1.0027771476883238,,1.39679868023599,-1.0170293558721613,-0.8875711144717933,,1.400677796461861,-0.756254005098732,-0.11243396443814092,3.6,0.08502863591547248,0,5,0,0,0,1,0,0.030475000000000002,3.2000000000000006,3.575,0.0444,65.0
Sainsbury's,SBRY.L,GB,2025,32812000000.0,859000000.0,1325000000.0,24648000000.0,242000000.0,0.0262,0.0404,,,,,,,,24.214060139086914,23.927961598240778,0.0073753504815311476,,0.5454545454545454,0.5454545454545454,-0.5917917428462837,,,-1.0234423055864035,-0.8197291079231817,,,1.0027771476883238,,3.6,,0,6,0,0,0,0,1,0.030475000000000002,3.2000000000000006,3.575,0.0444,
Tesco,TSCO.L,GB,2022,61344000000.0,1178000000.0,1984000000.0,49137000000.0,1481000000.0,0.0192,0.0323,1.8,15000.0,3.4,6000.0,22.0,25.5,25.5,24.839763203809646,24.617878152114763,0.024142540427751696,650.25,0.7777777777777778,0.6666666666666666,-1.0923290627450397,1.1468264372690715,-0.33869277733155895,-1.0811588530145833,-0.4558051265305723,-1.252711847353358,0.3699639640210962,,,,,0,3,0,1,0,0,0,0.020149999999999998,3.3499999999999996,1.8,0.030725,20.0
Tesco,TSCO.L,GB,2023,65322000000.0,1250000000.0,1881000000.0,45868000000.0,737000000.0,0.0191,0.0288,1.8,17000.0,3.3,6500.0,22.0,26.0,26.0,24.90259472307351,24.54903354312247,0.011282569425308472,676.0,0.7272727272727273,0.7272727272727273,-1.0994795958864503,0.5171962364154639,-0.33869277733155895,-1.106098101903303,-0.7349247561652067,-0.5686467090080672,0.3723857979501619,-1.0923290627450397,1.1468264372690715,1.8,-1.252711847353358,0,4,0,0,1,0,0,0.020149999999999998,3.3499999999999996,1.8,0.030725,20.0
Tesco,TSCO.L,GB,2024,68187000000.0,1386000000.0,2024000000.0,47039000000.0,1188000000.0,0.0203,0.0297,1.8,19000.0,,,23.0,26.5,26.5,24.945519767790543,24.574242881807415,0.017422675876633376,702.25,0.7272727272727273,0.7272727272727273,-1.0136731981895208,,-0.33869277733155895,-1.0996851521890605,-0.6016566299551683,,0.3433237908013726,-1.0994795958864503,0.5171962364154639,1.8,-0.5686467090080672,0,5,0,0,0,1,0,0.020149999999999998,3.3499999999999996,1.8,0.030725,20.0
Tesco,TSCO.L,GB,2025,69916000000.0,1539000000.0,2242000000.0,38890000000.0,1626000000.0,0.022,0.0321,,,,,,,,24.970560358419252,24.384002985114066,0.023256479203615767,,0.7272727272727273,0.7272727272727273,-0.8921141347855372,,,-1.0825839529510815,-0.4750366691730436,,,-1.0136731981895208,,1.8,,0,6,0,0,0,0,1,0.020149999999999998,3.3499999999999996,1.8,0.030725,
Zalando,ZAL.DE,DE,2021,,,,,,,,1.5,9000.0,3.1,1200.0,23.0,26.0,23.0,,,,529.0,,,,-0.7420641652917486,-0.6279413535928171,,,,,,,,,1,2,1,0,0,0,0,0.024375,3.033333333333333,1.5,0.22215000000000001,12.5
Zalando,ZAL.DE,DE,2022,10344800000.0,351600000.0,1274900000.0,7626100000.0,16800000.0,0.034,0.1232,1.5,10000.0,3.0,1400.0,22.0,25.5,22.0,23.059749814945917,22.754842411330163,0.0016240043306782151,484.0,0.3333333333333333,0.3333333333333333,-0.03405015781624147,-1.3716943661453562,-0.6279413535928171,-0.4334509318761213,-0.9445593744316879,0.04670640964289869,0.02138150218917971,,-0.7420641652917486,1.5,,0,3,0,1,0,0,0,0.024375,3.033333333333333,1.5,0.22215000000000001,12.5
Zalando,ZAL.DE,DE,2023,10143100000.0,263200000.0,1243300000.0,7789700000.0,83000000.0,0.0259,0.1226,1.5,10500.0,3.0,1600.0,22.0,26.0,22.0,23.040059508307742,22.77606818517608,0.008182902662893987,484.0,0.18181818181818182,0.2727272727272727,-0.6132433422705161,-1.3716943661453562,-0.6279413535928171,-0.43772623168561614,-0.802201567174465,0.8411824376686153,0.38508085442713114,-0.03405015781624147,-1.3716943661453562,1.5,0.04670640964289869,0,4,0,0,1,0,0,0.024375,3.033333333333333,1.5,0.22215000000000001,12.5
Zalando,ZAL.DE,DE,2024,10572500000.0,206800000.0,3397600000.0,7983900000.0,251100000.0,0.0196,0.3214,1.5,11000.0,,,23.0,26.5,23.0,23.08152212731092,22.800692850827033,0.02375029557815086,529.0,0.18181818181818182,0.2727272727272727,-1.0637269301793963,,-0.6279413535928171,0.9788231051936602,-0.46431861673407876,,0.6679581283899821,-0.6132433422705161,-1.3716943661453562,1.5,0.8411824376686153,0,5,0,0,0,1,0,0.024375,3.033333333333333,1.5,0.22215000000000001,12.5
Zalando,ZAL.DE,DE,2025,12346200000.0,222500000.0,3967500000.0,9257700000.0,215100000.0,0.018,0.3214,,,,,,,,23.236614160365715,22.948721474623458,0.017422364776206446,,0.2727272727272727,0.2727272727272727,-1.1781354604419692,,,0.9788231051936602,-0.6016633822437953,,,-1.0637269301793963,,1.5,,0,6,0,0,0,0,1,0.024375,3.033333333333333,1.5,0.22215000000000001,
