year,fips,annual_avg_emplvl,annual_avg_wkly_wage,total_annual_wages,annual_avg_estabs
2015,08093,235,535,6526216,38
2015,08095,128,422,2808379,20
2015,08097,1381,798,57332583,232
2015,08099,607,430,13582252,55
2015,08101,7463,533,206858094,483
2015,08103,189,441,4327815,30
2015,08105,336,437,7641761,49
2015,08107,1541,576,46177444,183
2015,08109,120,460,2879325,13
2015,08111,37,284,544833,15
2015,08113,441,599,13718477,68
2015,08115,71,481,1784087,9
2015,08117,2908,547,82686936,302
2015,08119,923,453,21758647,77
2015,08121,121,545,3428926,14
2015,08123,9716,570,288007594,625
2015,08125,431,487,10916977,52
2015,08999,0,0,0,83
2015,09001,49955,773,2007639135,3448
2015,09003,49225,583,1493221697,3156
2015,09005,8242,621,266314865,655
2015,09007,8560,587,261152860,643
2015,09009,42165,575,1260228964,2906
2015,09011,14639,536,408201593,1030
2015,09013,4797,592,147585712,359
2015,09015,5195,561,151572374,352
2015,09999,1921,934,93334253,188
2015,10001,9313,528,255640058,527
2015,10003,30954,557,896018285,1920
2015,10005,12121,511,322174312,1002
2015,10999,609,758,24021378,89
2015,11001,22306,649,752816981,1869
2015,12001,13409,464,323778228,973
2015,12003,1113,377,21853064,88
2015,12005,11496,524,313354607,873
2015,12007,907,533,25140521,95
2015,12009,27222,522,739611646,2096
2015,12011,106792,606,3367532546,8162
2015,12013,354,402,7400663,41
2015,12015,9021,504,236316230,642
2015,12017,5661,535,157422726,489
2015,12019,8089,481,202309582,600
2015,12021,20769,616,665439924,1586
2015,12023,3242,544,91756544,264
2015,12027,881,499,22863142,71
2015,12029,293,437,6665582,37
2015,12031,52407,584,1590972369,3643
2015,12033,16649,522,452302697,1246
2015,12035,3490,486,88174550,245
2015,12037,449,409,9534420,68
2015,12039,1185,453,27892575,144
2015,12041,250,401,5212301,48
2015,12043,65,471,1578780,11
2015,12045,493,460,11787723,52
2015,12047,359,358,6673093,43
2015,12049,742,482,18595805,85
2015,12051,1249,426,27678767,118
2015,12053,7362,474,181308056,489
2015,12055,4544,489,115653462,345
2015,12057,76705,606,2415931697,4958
2015,12059,414,424,9116762,63
2015,12061,8476,497,219220172,690
2015,12063,1985,453,46728194,175
2015,12065,298,387,5997883,45
2015,12067,119,542,3350217,16
2015,12069,15255,527,418044993,1118
2015,12071,39673,555,1145619081,2855
2015,12073,16211,472,397601222,1060
2015,12075,1497,425,33065243,131
2015,12077,113,350,2051523,14
2015,12079,514,456,12196979,61
2015,12081,18218,520,492599731,1360
2015,12083,15905,520,429972879,1231
2015,12085,9745,553,280100871,776
2015,12086,146094,584,4438349379,13182
2015,12087,6096,553,175310869,693
2015,12089,2940,471,72050061,268
2015,12091,11833,519,319256408,933
2015,12093,1492,498,38647398,134
2015,12095,83415,539,2338092920,5185
2015,12097,14320,463,345128838,968
2015,12099,77636,604,2437571122,5977
2015,12101,21174,524,577164211,1496
2015,12103,53960,585,1640233272,3996
2015,12105,26884,528,738125185,1907
2015,12107,2654,446,61602664,246
2015,12109,10073,521,273083556,888
2015,12111,10674,526,292041120,806
2015,12113,5655,461,135525387,426
2015,12115,22808,594,705032590,1925
2015,12117,27466,567,809173690,1823
2015,12119,4046,473,99464690,246
2015,12121,1615,462,38790827,151
2015,12123,1019,424,22461863,102
2015,12125,0,0,0,31
2015,12127,24809,513,661723479,2041
2015,12129,814,395,16734322,72
2015,12131,4231,500,110013135,392
2015,12133,674,431,15105517,61
2015,12999,0,0,0,1678
2015,13001,1014,458,24157027,78
2015,13003,160,446,3712056,27
2015,13005,320,398,6631022,45
2015,13007,38,277,540625,6
2015,13009,2309,459,55102315,178
2015,13011,598,399,12405370,51
2015,13013,3005,595,92915135,157
2015,13015,3716,501,96798801,290
2015,13017,709,452,16672873,74
2015,13019,385,556,11123763,53
2015,13021,12858,480,320696941,783
2015,13023,460,436,10429282,49
2015,13025,190,368,3635535,33
2015,13027,257,476,6354276,40
2015,13029,1013,479,25202695,84
2015,13031,3316,445,76791690,255
2015,13033,765,463,18421897,63
2015,13035,854,477,21193646,75
2015,13037,101,367,1926669,16
2015,13039,2230,447,51795355,147
2015,13043,449,459,10695352,53
2015,13045,5839,483,146677727,363
2015,13047,2867,500,74493171,190
2015,13049,188,377,3677350,29
2015,13051,18101,529,497540160,1261
2015,13053,112,322,1872625,13
2015,13055,709,400,14733381,69
2015,13057,9309,509,246291669,552
2015,13059,7853,511,208795683,498
2015,13061,49,310,795332,10
2015,13063,10581,594,326682930,722
2015,13065,151,388,3039117,25
2015,13067,40021,634,1320416410,2187
2015,13069,2040,545,57789452,195
2015,13071,1847,489,47002803,189
2015,13073,5193,564,152283418,297
2015,13075,448,386,8976089,55
2015,13077,5572,525,152006473,336
2015,13079,105,358,1964476,18
2015,13081,1158,434,26097578,114
2015,13083,433,359,8087771,57
2015,13085,2991,402,62489446,160
2015,13087,1290,443,29727709,126
2015,13089,33603,644,1125839338,2216
2015,13091,674,386,13508873,65
2015,13093,290,486,7326689,39
2015,13095,5645,440,129015675,462
2015,13097,6829,509,180887408,384
2015,13099,441,542,12418617,56
2015,13101,0,0,0,4
2015,13103,1285,457,30553090,100
2015,13105,582,390,11793336,73
2015,13107,773,435,17503039,90
2015,13109,374,542,10542198,51
2015,13111,1063,474,26180455,107
2015,13113,6647,443,153284283,399
2015,13115,4935,481,123370500,379
2015,13117,8117,544,229476693,516
2015,13119,859,498,22251978,92
2015,13121,61126,680,2159968019,3624
2015,13123,1135,473,27929032,90
2015,13125,0,0,0,4
2015,13127,5172,478,128540893,440
2015,13129,2198,454,51871236,198
2015,13131,773,456,18318004,68
2015,13133,706,484,17751398,63
2015,13135,47335,621,1528974719,2691
2015,13137,1790,453,42196372,161
2015,13139,8735,602,273472175,576
2015,13141,77,455,1820121,17
2015,13143,653,521,17698504,81
2015,13145,244,322,4076680,47
2015,13147,889,390,18004292,76
2015,13149,87,359,1620008,19
2015,13151,9618,490,245115962,558
2015,13153,6659,475,164321336,467
2015,13155,211,408,4474530,31
2015,13157,2601,474,64071270,216
2015,13159,186,345,3335928,25
2015,13161,750,525,20453759,66
2015,13163,585,410,12456764,59
2015,13165,145,366,2756329,20
2015,13167,151,364,2858285,20
2015,13169,413,402,8646269,52
2015,13171,406,451,9533077,40
2015,13173,115,395,2368447,20
2015,13175,2520,458,59994367,220
2015,13177,708,456,16802708,78
2015,13179,1881,463,45247033,175
2015,13181,137,372,2642252,19
2015,13183,46,349,829159,8
2015,13185,6742,451,158120989,480
2015,13187,899,444,20732936,72
2015,13189,950,488,24119999,89
2015,13191,315,395,6477062,46
2015,13193,242,429,5398169,42
2015,13195,429,376,8390181,56
2015,13197,107,449,2499707,19
2015,13199,435,433,9811301,71
2015,13201,232,456,5504101,34
2015,13205,833,413,17876376,93
2015,13207,607,427,13464433,63
2015,13209,156,385,3123098,25
2015,13211,898,412,19221002,73
2015,13213,905,551,25936757,90
2015,13215,10972,473,269890407,754
2015,13217,2980,458,70949021,212
2015,13219,1297,485,32727531,78
2015,13221,123,370,2372072,19
2015,13223,4099,490,104531882,252
2015,13225,954,577,28645107,101
2015,13227,1136,482,28442359,96
2015,13229,495,446,11482290,60
2015,13231,329,379,6477992,35
2015,13233,1824,496,47009667,134
2015,13235,282,456,6693208,41
2015,13237,718,444,16577477,73
2015,13239,0,0,0,10
2015,13241,952,483,23910720,78
2015,13243,183,494,4703550,31
2015,13245,11293,482,283107411,785
2015,13247,4344,531,119948942,266
2015,13249,97,383,1924574,12
2015,13251,365,451,8566782,42
2015,13253,309,386,6200732,43
2015,13255,2608,477,64655640,195
2015,13257,1191,483,29888800,102
2015,13259,41,340,730106,17
2015,13261,1398,427,31046699,132
2015,13263,30,248,381918,13
2015,13265,0,0,0,2
2015,13267,551,406,11644548,61
2015,13269,151,499,3916206,26
2015,13271,312,347,5618125,47
2015,13273,313,495,8050490,38
2015,13275,2132,490,54308922,230
2015,13277,2711,501,70578484,220
2015,13279,1700,491,43449908,146
2015,13281,412,394,8444413,58
2015,13283,213,365,4047438,28
2015,13285,4195,593,129445634,257
2015,13287,271,465,6554146,33
2015,13289,0,0,0,13
2015,13291,1087,417,23553791,90
2015,13293,965,407,20431324,85
2015,13295,1318,409,28033808,149
2015,13297,3322,582,100508008,205
2015,13299,2374,537,66301792,186
